Jogo,Desconto,Avalia____o
"Citadels
Week Long Deal
all-time low: R$ 2,79 at -90%","-0,8","0,2016"
"Lords of the Black Sun
Week Long Deal
all-time low: R$ 5,59 at -90%","-0,82","0,2488"
"Bomb Defense
Week Long Deal
all-time low: R$ 3,26 at -70%","-0,5","0,256"
"Time Ramesside (A New Reckoning)
all-time low: R$ 1,08 at -90%","-0,9","0,2564"
"Yacht Mechanic Simulator
all-time low: R$ 4,69 at -90%","-0,34","0,2618"
"Overlord: Fellowship of Evil
all-time low: R$ 2,06 at -90%","-0,75","0,264"
THE 4 SINS,"-0,2","0,2659"
"Pro Rugby Manager 2015
Week Long Deal","-0,9","0,2688"
"Feed the Cups
new historical low","-0,2","0,2753"
"Towns
Week Long Deal
all-time low: R$ 3,74 at -85%","-0,5","0,2874"